a0 a1 b0 b1 f id
0.11513632 -0.02280240 -0.07993351 -0.00564964 7.68866235 OGLE-GD-ECL-00077
-0.01390065 -0.01600937 -0.02732535 0.01637462 1.64053276 OGLE-GD-ECL-00078
0.03184043 -0.00629131 -0.13731381 0.02151148 7.21669052 OGLE-GD-ECL-00079
-0.03858495 -0.01189313 0.08995584 0.00957657 5.53171661 OGLE-GD-ECL-00080
0.06602375 0.09196501 0.08012175 0.01998147 1.53476973 OGLE-GD-ECL-00081
-0.04484336 -0.03598954 0.02528646 -0.01652261 1.03388371 OGLE-GD-ECL-00082
-0.10712907 -0.01930059 0.06580045 -0.00801758 6.03676093 OGLE-GD-ECL-00083
0.25170561 -0.09162814 -0.15511328 -0.05003270 6.07982405 OGLE-GD-ECL-00084
-0.03988255 0.00617570 -0.02326022 -0.00452935 2.62409450 OGLE-GD-ECL-00085
0.20710409 0.07495901 0.13578651 -0.02738058 6.10428391 OGLE-GD-ECL-00086
-0.04999917 0.05057331 -0.08805465 0.03016303 0.60012769 OGLE-GD-ECL-00087
-0.07876614 -0.04262690 0.02451599 -0.06665790 0.65352596 OGLE-GD-ECL-00088
0.07656541 0.03357357 0.15790677 0.01780199 6.08085644 OGLE-GD-ECL-00089
0.06116200 0.02810049 0.13425291 0.01685039 5.34051635 OGLE-GD-ECL-00090
-0.19983097 0.02960624 -0.08662132 -0.03406230 6.78984884 OGLE-GD-ECL-00091
0.11826299 0.06700126 0.26379461 0.07616521 7.43097262 OGLE-GD-ECL-00092
-0.22149801 -0.02586083 0.05329731 -0.04392148 5.44593487 OGLE-GD-ECL-00093
0.11461918 -0.02250961 -0.07495273 -0.01533020 6.41433720 OGLE-GD-ECL-00094
-0.01040937 0.01061261 -0.04628892 0.02165072 5.96165884 OGLE-GD-ECL-00095
-0.01880234 -0.00064101 -0.03530921 -0.00347483 0.35449557 OGLE-GD-ECL-00096
0.04070410 0.02977254 0.03442109 -0.00270808 3.44849430 OGLE-GD-ECL-00097
0.08855937 0.08365783 0.09685216 0.01277410 4.36522272 OGLE-GD-ECL-00098
0.09818044 -0.04207321 -0.14281384 0.01481930 7.56188452 OGLE-GD-ECL-00099
0.01937065 -0.01364900 -0.05123521 0.01456993 3.12672670 OGLE-GD-ECL-00100
-0.04283642 -0.01129792 0.04205288 0.00171613 5.66986206 OGLE-GD-ECL-00101
-0.00813187 -0.00087072 0.07592491 0.00637405 7.57428670 OGLE-GD-ECL-00102
-0.22470375 -0.03800538 0.03057534 -0.12964725 5.55066439 OGLE-GD-ECL-00103
0.05890807 0.00759578 0.01769384 -0.01161204 5.66917410 OGLE-GD-ECL-00104
-0.00417043 0.00120947 -0.15537540 0.02550151 5.14380400 OGLE-GD-ECL-00105
-0.09171037 -0.06423098 0.15484178 0.03256028 2.68782743 OGLE-GD-ECL-00106
-0.24162068 0.05728528 -0.05412206 -0.04656501 7.01067523 OGLE-GD-ECL-00107
0.01196527 -0.00320244 -0.02755420 0.00201529 8.12824921 OGLE-GD-ECL-00108
-0.04573211 0.00818020 -0.11057367 0.00417194 4.61188743 OGLE-GD-ECL-00109
-0.26285465 0.04877158 -0.08827758 -0.07985820 5.51207983 OGLE-GD-ECL-00110
0.11318408 -0.00266866 -0.04406898 -0.00903372 6.04675045 OGLE-GD-ECL-00111
0.04708996 -0.00942812 -0.11537057 0.00871141 4.05667872 OGLE-GD-ECL-00112
0.02895584 -0.01184755 -0.03220023 0.00075632 6.45567900 OGLE-GD-ECL-00113
-0.00802094 -0.00365042 0.06989569 0.00714446 6.07603337 OGLE-GD-ECL-00114
0.14785107 0.04832163 0.13610402 0.00539341 5.75288775 OGLE-GD-ECL-00115
-0.03178895 -0.04584481 0.03751815 0.00591457 0.74964272 OGLE-GD-ECL-00116
0.01795411 -0.00700233 -0.01511816 -0.00031744 0.99803095 OGLE-GD-ECL-00117
0.21900081 -0.00807248 -0.00173492 -0.05027096 6.96072331 OGLE-GD-ECL-00118
0.04389754 -0.01006255 -0.00237008 0.01830376 0.04178325 OGLE-GD-ECL-00119
-0.23231940 0.04734949 -0.09456785 -0.04247629 5.12278919 OGLE-GD-ECL-00120
0.02400976 0.00397999 0.12436783 0.01462612 7.62251598 OGLE-GD-ECL-00121
0.10715813 -0.01770283 -0.05741902 -0.01134183 6.06638836 OGLE-GD-ECL-00122
-0.17332986 -0.01041498 0.02573287 -0.03381413 7.11230418 OGLE-GD-ECL-00123
-0.09742615 -0.01738327 0.09165138 -0.00170062 5.47693930 OGLE-GD-ECL-00124
-0.00507316 -0.00205132 0.09206627 0.04577716 2.36537082 OGLE-GD-ECL-00125
-0.06244760 0.07089006 -0.11260641 0.05215046 2.05497226 OGLE-GD-ECL-00126
-0.00256149 0.00367107 -0.01777927 0.01302833 0.80545252 OGLE-GD-ECL-00127
-0.06620802 0.00243970 -0.05425473 -0.00312484 6.38057572 OGLE-GD-ECL-00128
-0.04990648 0.01704500 -0.05302098 0.00465195 7.17018234 OGLE-GD-ECL-00129
0.01641451 0.00286164 0.05831326 0.00637884 4.36453290 OGLE-GD-ECL-00130
0.02946406 0.02209880 0.21983258 0.07522868 4.08892896 OGLE-GD-ECL-00131
-0.10360303 0.04111586 -0.18886365 0.02752690 8.82415080 OGLE-GD-ECL-00132
0.16878069 -0.04104429 -0.08681634 -0.02986989 6.96278904 OGLE-GD-ECL-00133
-0.02349507 0.01478169 -0.02231081 0.00119156 5.05285468 OGLE-GD-ECL-00134
0.04465082 -0.03649147 -0.26546071 0.08477859 6.74644121 OGLE-GD-ECL-00135
0.03833907 0.02977970 0.09182845 0.02239762 1.58851251 OGLE-GD-ECL-00136
-0.15530379 -0.00677856 0.00275459 -0.01094538 8.67601365 OGLE-GD-ECL-00137
-0.11783945 -0.03150484 0.13207011 0.00318319 3.20734085 OGLE-GD-ECL-00138
-0.09796105 0.13065052 -0.23867908 0.18165096 1.50410878 OGLE-GD-ECL-00139
-0.01407352 -0.00424873 0.06452804 0.01239959 3.05610319 OGLE-GD-ECL-00140
-0.00146091 -0.00197408 0.07421506 0.04022845 1.71150079 OGLE-GD-ECL-00141
-0.13447222 -0.04332528 0.07191044 -0.02692680 4.08341764 OGLE-GD-ECL-00142
-0.17019302 -0.04436010 0.10887172 -0.00484334 6.57246619 OGLE-GD-ECL-00143
-0.00928209 0.01639545 -0.02033054 0.01327320 0.31384399 OGLE-GD-ECL-00144
0.00339595 -0.00353037 -0.00620947 0.00302973 0.63871225 OGLE-GD-ECL-00145
0.02373037 -0.00334359 -0.03876093 0.00192285 3.38958396 OGLE-GD-ECL-00146
0.00031977 -0.00021506 -0.06924692 0.05342717 0.62872161 OGLE-GD-ECL-00147
-0.12300335 -0.00788913 0.02563869 -0.01865885 5.18893415 OGLE-GD-ECL-00148
0.04979214 -0.00014997 0.00073845 -0.00155211 1.91028017 OGLE-GD-ECL-00149
-0.04969423 0.01577873 -0.17042191 0.02545108 3.61936874 OGLE-GD-ECL-00150
0.06470763 -0.07518476 -0.05278198 -0.02333827 0.76927964 OGLE-GD-ECL-00151
-0.11187478 0.06652645 -0.31473986 0.09701040 6.56833213 OGLE-GD-ECL-00152
-0.17129309 0.05147205 -0.10232613 -0.02177338 7.53570074 OGLE-GD-ECL-00153
-0.07701507 0.02838543 -0.15757525 0.02141140 5.20202534 OGLE-GD-ECL-00154
0.06314899 0.02671229 0.01663416 -0.04814449 0.70416820 OGLE-GD-ECL-00155
-0.00338554 -0.00071461 -0.01129509 -0.00180999 0.06890099 OGLE-GD-ECL-00156
-0.08640238 -0.02564236 0.10375072 0.01089440 4.72936449 OGLE-GD-ECL-00157
-0.11068846 -0.00562869 0.00607122 -0.06038926 1.94886436 OGLE-GD-ECL-00158
0.13890306 0.02216754 0.04762611 -0.01610898 6.46291360 OGLE-GD-ECL-00159
-0.05338274 0.01198872 -0.02179971 -0.00815814 7.70003102 OGLE-GD-ECL-00160
0.01620235 -0.01745688 -0.09898468 0.05151471 4.79171901 OGLE-GD-ECL-00161
-0.19045988 -0.11430984 0.28569841 0.05188442 8.60745716 OGLE-GD-ECL-00162
-0.00778221 -0.00346937 0.01160898 -0.00130267 0.74413064 OGLE-GD-ECL-00163
0.17574247 0.01461693 0.04442566 -0.01291028 5.81627665 OGLE-GD-ECL-00164
-0.13062175 0.01740700 -0.08248411 -0.01711458 4.34592963 OGLE-GD-ECL-00165
-0.14625688 0.02300103 -0.07158049 -0.00923784 9.09458552 OGLE-GD-ECL-00166
0.04724948 0.00197203 -0.00022192 -0.01395118 7.10334838 OGLE-GD-ECL-00167
0.07528182 0.09858084 0.10492534 0.03230706 1.29533876 OGLE-GD-ECL-00168
0.00027821 -0.00400528 -0.05888925 0.05399945 0.49298664 OGLE-GD-ECL-00169
0.07445868 -0.07478725 -0.09756974 0.01050536 2.72055590 OGLE-GD-ECL-00170
0.20961572 0.00589946 0.00559768 -0.06793388 6.06432133 OGLE-GD-ECL-00171
0.00868205 0.00346226 0.08506298 0.01535059 3.35168842 OGLE-GD-ECL-00172
-0.00243276 0.00116672 0.28260494 0.09843174 6.76780052 OGLE-GD-ECL-00173
0.02615842 -0.00964607 -0.07304009 0.01168489 8.37870429 OGLE-GD-ECL-00174
0.21105567 0.01930595 0.06246962 -0.02987610 5.92514021 OGLE-GD-ECL-00175
0.06569759 -0.01458333 -0.00801103 -0.05557539 0.61597481 OGLE-GD-ECL-00176
-0.00859241 0.01122188 -0.03115065 0.01963024 0.84679326 OGLE-GD-ECL-00177
0.27208320 -0.02692680 -0.04520148 -0.08370573 7.74791577 OGLE-GD-ECL-00178
-0.10531879 0.01823946 -0.07280069 -0.00990758 7.34140132 OGLE-GD-ECL-00179
0.20942846 -0.09276699 -0.19915520 -0.01640029 7.73310206 OGLE-GD-ECL-00180
0.19551570 -0.05750289 -0.12432033 -0.03425283 6.71371323 OGLE-GD-ECL-00181
-0.08439466 0.07161741 -0.06501189 -0.02787195 1.89753313 OGLE-GD-ECL-00182
-0.06759163 0.00560697 -0.01111940 -0.00975736 3.31482639 OGLE-GD-ECL-00183
-0.06819076 0.04009739 -0.11935477 0.02489414 4.28426325 OGLE-GD-ECL-00184
0.21253693 0.03408153 0.09021691 -0.03047671 6.49839761 OGLE-GD-ECL-00185
-0.02270129 0.00046881 -0.02230507 0.00063237 4.61843303 OGLE-GD-ECL-00186
0.13892523 0.01394490 0.01321315 -0.04039002 4.45927175 OGLE-GD-ECL-00187
0.01413477 0.01730405 0.10548048 0.06528372 2.50455127 OGLE-GD-ECL-00188
0.16951543 0.00134758 -0.01171952 -0.13042817 3.53875525 OGLE-GD-ECL-00189
-0.07098715 0.01855198 -0.01138662 -0.04508574 1.72838153 OGLE-GD-ECL-00190
0.01428968 -0.00671121 -0.00536094 -0.00666686 0.62286502 OGLE-GD-ECL-00191
0.11871377 0.03835659 0.11473058 -0.00189415 8.74250311 OGLE-GD-ECL-00192
-0.00105960 0.00015212 -0.03117653 0.00274950 3.05300322 OGLE-GD-ECL-00193
-0.01536615 0.01953677 -0.06227753 0.04939728 1.12894264 OGLE-GD-ECL-00194
0.00336001 0.00366804 0.22607953 0.06237749 5.61060826 OGLE-GD-ECL-00195
-0.10069898 -0.01073267 0.05528736 -0.01103944 5.17205341 OGLE-GD-ECL-00196
-0.00872547 -0.00041491 0.00013004 -0.00510529 0.71553686 OGLE-GD-ECL-00197
-0.06606576 0.02533595 -0.18283782 0.02809356 7.06166196 OGLE-GD-ECL-00198
0.05385477 0.06807822 0.11455933 0.05499265 2.33195384 OGLE-GD-ECL-00199
-0.08107354 -0.09452678 0.07712414 0.00450098 1.63019731 OGLE-GD-ECL-00200
0.00091315 0.00088523 0.01867001 0.01748734 0.20050187 OGLE-GD-ECL-00201
-0.05381449 0.02783232 -0.07401247 0.00187953 6.48702774 OGLE-GD-ECL-00202
0.13930360 -0.01281142 -0.04941472 -0.02029589 7.65076538 OGLE-GD-ECL-00203
-0.07206245 -0.00166405 0.00619776 -0.00084666 4.30493355 OGLE-GD-ECL-00204
-0.07155504 0.01929379 -0.04471839 -0.00852268 6.68890763 OGLE-GD-ECL-00205
-0.00679601 0.00258522 -0.16454970 0.04111976 7.33829941 OGLE-GD-ECL-00206
-0.09238593 0.01858265 -0.03243365 -0.02407926 6.06053177 OGLE-GD-ECL-00207
-0.07227233 0.05053512 -0.02756420 -0.04383090 2.17796054 OGLE-GD-ECL-00208
0.02460153 -0.02599825 -0.05837535 0.02767963 1.72975955 OGLE-GD-ECL-00209
0.02269821 -0.00659287 -0.03712518 0.00214828 0.58806991 OGLE-GD-ECL-00210
0.05552659 0.06040411 0.04349107 -0.01952270 4.51129200 OGLE-GD-ECL-00211
0.02802706 -0.00236949 -0.00752058 -0.00026489 7.03169134 OGLE-GD-ECL-00212
0.01677981 -0.00186412 -0.00173604 -0.00777627 0.92223968 OGLE-GD-ECL-00213
-0.04348557 -0.00624933 0.07370922 0.00567166 6.08223446 OGLE-GD-ECL-00214
0.10681957 -0.00562867 -0.02355868 -0.02096746 7.54879333 OGLE-GD-ECL-00215
-0.10478461 0.10702793 -0.09829221 -0.00908811 1.59953667 OGLE-GD-ECL-00216
-0.01739913 0.01282526 -0.01406832 -0.00131420 1.72838153 OGLE-GD-ECL-00217
-0.15515238 -0.05120463 0.15373596 -0.00043271 5.80766403 OGLE-GD-ECL-00218
-0.12898822 -0.12128060 0.09551516 -0.04801284 2.41945809 OGLE-GD-ECL-00219
0.11072577 -0.07821974 -0.27184356 0.07733121 5.74427512 OGLE-GD-ECL-00220
0.13037126 0.00119549 0.06428050 -0.01054172 4.97189508 OGLE-GD-ECL-00221
-0.11051648 0.04409023 -0.23201853 0.04067318 8.52615398 OGLE-GD-ECL-00222
-0.03068446 -0.02376697 0.03474049 0.00103540 2.08873375 OGLE-GD-ECL-00223
-0.01150721 0.00559571 -0.13858756 0.02708128 4.95088028 OGLE-GD-ECL-00224
-0.02505389 0.02650426 -0.12897059 0.04751165 3.82090413 OGLE-GD-ECL-00225
-0.06164575 0.03613428 -0.01527436 -0.04694676 1.96195555 OGLE-GD-ECL-00226
