Days,Mag,error
2452080.60202,15.647,0.006999999999999999
2452080.6107400004,15.665999999999999,0.008
2452080.62544,15.655,0.008
2452080.63422,15.658,0.008
2452080.64297,15.655,0.008
2452080.65177,15.644,0.008
2452080.66048,15.654000000000002,0.008
2452080.67514,15.652999999999999,0.008
2452080.69678,15.66,0.008
2452080.70554,15.637,0.008
2452080.71428,15.65,0.008
2452080.74805,15.647,0.006999999999999999
2452080.76051,15.659,0.006999999999999999
2452080.77481,15.661,0.008
2452080.8002,15.655,0.008
2452080.81055,15.66,0.008
2452080.8193200002,15.668,0.008
2452080.8280700003,15.668,0.008
2452080.83678,15.657,0.008
2452080.84552,15.663,0.008
2452080.8543,15.682,0.01
2452081.5662700003,15.648,0.006999999999999999
2452081.5761599997,15.645,0.008
2452081.5849,15.652000000000001,0.008
2452081.59555,15.648,0.006999999999999999
2452081.61509,15.65,0.008
2452081.65783,15.657,0.008
2452081.69927,15.652999999999999,0.008
2452081.70808,15.644,0.008
2452081.71687,15.657,0.008
2452081.7343900003,15.657,0.008
2452081.7431400004,15.655,0.008
2452081.75394,15.651,0.008
2452081.76271,15.652999999999999,0.008
2452081.77148,15.664000000000001,0.008
2452081.78026,15.665999999999999,0.008
2452081.79834,15.668,0.008
2452081.8070799997,15.66,0.006999999999999999
2452081.8158299997,15.664000000000001,0.008
2452081.82786,15.642000000000001,0.006999999999999999
2452081.83658,15.675,0.008
2452081.86137,15.661,0.006999999999999999
2452081.8766799998,15.679,0.008
2452082.64861,15.659,0.008
2452082.68219,15.657,0.008
2452082.69294,15.65,0.008
2452082.7023099996,15.649000000000001,0.008
2452082.71108,15.662,0.008
2452082.72356,15.667,0.008
2452082.73527,15.658,0.008
2452082.74402,15.658,0.008
2452082.75275,15.662,0.008
2452082.76382,15.649000000000001,0.008
2452082.78055,15.645999999999999,0.008
2452082.7893,15.665,0.008
2452082.79806,15.663,0.008
2452082.80677,15.652000000000001,0.008
2452082.81553,15.667,0.008
2452082.82428,15.654000000000002,0.008
2452082.8368,15.664000000000001,0.008
2452082.84556,15.659,0.008
2452082.85433,15.662,0.008
2452082.86309,15.663,0.008
2452082.87185,15.654000000000002,0.008
2452082.88062,15.661,0.008
2452085.62793,15.657,0.008
2452085.63649,15.648,0.008
2452085.64506,15.65,0.008
2452085.6537099998,15.658,0.008
2452085.6623299997,15.649000000000001,0.008
2452085.67091,15.655,0.008
2452085.68217,15.649000000000001,0.01
2452085.69075,15.654000000000002,0.01
2452085.69931,15.65,0.01
2452085.70792,15.647,0.008
2452085.71663,15.65,0.01
2452085.7252700003,15.657,0.01
2452085.73505,15.654000000000002,0.01
2452085.74364,15.662,0.01
2452085.75587,15.651,0.01
2452085.76598,15.645999999999999,0.01
2452085.78189,15.665,0.01
2452085.79206,15.665,0.008
2452085.80064,15.654000000000002,0.01
2452085.82309,15.665999999999999,0.01
2452085.83168,15.652999999999999,0.01
2452085.84027,15.674000000000001,0.01
2452085.84886,15.67,0.01
2452085.85747,15.661,0.01
2452086.55194,15.65,0.008
2452086.56053,15.645,0.008
2452086.5691400003,15.644,0.008
2452086.58887,15.651,0.008
2452086.5975,15.648,0.008
2452086.6061,15.647,0.008
2452086.62541,15.658,0.006999999999999999
2452086.63403,15.648,0.008
2452086.64261,15.652999999999999,0.006999999999999999
2452086.65121,15.655,0.008
2452086.6598,15.652999999999999,0.008
2452086.66842,15.663,0.008
2452086.68017,15.651,0.006999999999999999
2452086.68873,15.659,0.006999999999999999
2452086.69729,15.655999999999999,0.008
2452086.7059,15.664000000000001,0.008
2452086.71455,15.67,0.008
2452086.72797,15.689,0.008
2452086.7366400003,15.690999999999999,0.008
2452086.7452700003,15.705,0.008
2452086.75386,15.698,0.008
2452086.76246,15.706,0.008
2452086.77577,15.697000000000001,0.008
2452086.78437,15.69,0.008
2452086.7930099997,15.689,0.008
2452086.80541,15.677999999999999,0.008
2452086.81399,15.675999999999998,0.008
2452086.82259,15.66,0.008
2452086.8350400003,15.675999999999998,0.01
2452086.84367,15.668,0.01
2452086.8522799998,15.673,0.01
2452086.86091,15.677999999999999,0.01
2452087.5575200003,15.638,0.006999999999999999
2452087.59914,15.651,0.006999999999999999
2452087.60787,15.66,0.006999999999999999
2452087.6166,15.645,0.006999999999999999
2452087.62535,15.649000000000001,0.006999999999999999
2452087.6340900003,15.642999999999999,0.006999999999999999
2452087.6428400003,15.651,0.006999999999999999
2452087.6518,15.638,0.006999999999999999
2452087.6605599998,15.644,0.006999999999999999
2452087.67263,15.645,0.006999999999999999
2452087.68138,15.649000000000001,0.006999999999999999
2452087.6907599997,15.658,0.006999999999999999
2452087.70821,15.654000000000002,0.008
2452087.71697,15.65,0.006999999999999999
2452087.72575,15.652000000000001,0.006999999999999999
2452087.73454,15.652000000000001,0.006999999999999999
2452087.74334,15.655999999999999,0.006999999999999999
2452087.75209,15.667,0.006999999999999999
2452087.7625599997,15.677,0.006999999999999999
2452087.7713099997,15.655999999999999,0.006999999999999999
2452087.78006,15.652999999999999,0.006
2452087.78881,15.665,0.006999999999999999
2452087.79755,15.655,0.006999999999999999
2452087.8063,15.67,0.006999999999999999
2452087.81553,15.647,0.006999999999999999
2452087.8242900004,15.657,0.006999999999999999
2452087.833,15.675,0.006999999999999999
2452087.8417599997,15.662,0.008
2452087.85055,15.663,0.006999999999999999
2452087.85925,15.669,0.008
2452088.5548900003,15.659,0.008
2452088.56685,15.667,0.008
2452088.57556,15.661,0.008
2452088.58433,15.651,0.008
2452088.59312,15.647,0.008
2452088.60207,15.654000000000002,0.008
2452088.61082,15.66,0.008
2452088.61961,15.652000000000001,0.008
2452088.62839,15.655,0.008
